iter	Passed	Remaining
471	1208	583
472	1211	581
473	1214	579
474	1216	576
475	1219	573
476	1221	570
477	1222	567
478	1224	564
479	1228	563
480	1231	560
481	1232	557
482	1234	554
483	1236	552
484	1238	548
485	1239	545
486	1243	544
487	1247	541
488	1248	538
489	1250	535
490	1252	532
491	1253	530
492	1255	527
493	1259	525
494	1261	522
495	1263	519
496	1265	516
497	1267	513
498	1268	510
499	1270	508
500	1274	506
501	1277	503
502	1278	500
503	1280	497
504	1281	494
505	1283	492
506	1285	489
507	1287	486
508	1289	483
509	1292	481
510	1294	478
511	1295	475
512	1298	473
513	1299	470
514	1301	467
515	1305	465
516	1308	463
517	1309	460
518	1312	457
519	1313	454
520	1315	451
521	1316	448
522	1319	446
523	1322	444
524	1324	441
525	1326	438
526	1328	436
527	1330	433
528	1331	430
529	1334	427
530	1336	425
531	1338	422
532	1340	420
533	1342	417
534	1344	414
535	1346	411
536	1347	409
537	1352	407
538	1355	404
539	1357	402
540	1359	399
541	1360	396
542	1362	393
543	1363	391
544	1368	389
545	1370	386
546	1372	383
547	1374	381
548	1375	378
549	1377	375
550	1379	372
551	1382	370
552	1384	368
553	1387	365
554	1389	363
555	1391	360
556	1393	357
557	1394	354
558	1398	352
559	1400	350
560	1403	347
561	1405	345
562	1407	342
563	1409	339
564	1411	337
565	1414	334
566	1417	332
567	1419	329
568	1421	327
569	1423	324
570	1426	322
571	1430	320
572	1431	317
573	1434	314
574	1435	312
575	1437	309
576	1438	306
577	1440	304
578	1442	301
579	1446	299
580	1448	296
581	1450	294
582	1452	291
583	1454	288
584	1456	286
585	1460	284
586	1462	281
587	1464	278
588	1466	276
589	1467	273
590	1469	270
591	1470	268
592	1473	265
593	1476	263
594	1478	260
595	1481	258
596	1483	256
597	1486	253
598	1490	251
599	1493	248
600	1495	246
601	1498	243
602	1499	241
603	1502	238
604	1506	236
605	1510	234
606	1512	231
607	1514	229
608	1516	226
609	1518	223
610	1522	221
611	1524	219
612	1527	216
613	1529	214
614	1530	211
615	1533	209
616	1538	206
617	1540	204
618	1542	201
619	1544	199
620	1546	196
621	1549	194
622	1553	192
623	1555	189
624	1557	186
625	1559	184
626	1562	181
627	1563	179
628	1565	176
629	1570	174
630	1573	172
631	1575	169
632	1577	166
633	1579	164
634	1580	161
635	1583	159
636	1585	156
637	1587	154
638	1588	151
639	1590	149
640	1592	146
641	1593	143
642	1595	141
643	1598	138
644	1600	136
645	1602	133
646	1604	131
647	1606	128
648	1607	126
649	1609	123
650	1610	121
651	1613	118
652	1616	116
653	1617	113
654	1620	111
655	1621	108
656	1624	106
657	1625	103
658	1629	101
659	1633	99
660	1635	96
661	1637	94
662	1639	91
663	1640	88
664	1643	86
665	1646	84
666	1647	81
667	1649	78
668	1651	76
669	1653	74
670	1654	71
671	1656	69
672	1660	66
673	1662	64
674	1664	61
675	1666	59
676	1668	56
677	1669	54
678	1671	51
679	1672	49
680	1676	46
681	1678	44
682	1680	41
683	1681	39
684	1683	36
685	1684	34
686	1686	31
687	1688	29
688	1691	27
689	1694	24
690	1696	22
691	1698	19
692	1700	17
693	1701	14
694	1704	12
695	1708	9
696	1710	7
697	1712	4
698	1714	2
699	1715	0
