iter	RMSE
295	7.780814197
296	7.7765112
297	7.772016011
298	7.767661514
299	7.763752141
300	7.759753726
301	7.755786215
302	7.751082866
303	7.74673117
304	7.74226459
305	7.737925455
306	7.734049203
307	7.729534673
308	7.725751096
309	7.721151936
310	7.71686091
311	7.712388321
312	7.70801695
313	7.704644047
314	7.699640748
315	7.695201699
316	7.690968253
317	7.686725547
318	7.682401624
319	7.677786831
320	7.673792306
321	7.669452073
322	7.665216392
323	7.661057604
324	7.65670803
325	7.652473672
326	7.648304706
327	7.644630965
328	7.640863992
329	7.63660858
330	7.632610212
331	7.628745081
332	7.625201946
333	7.621268358
334	7.616791663
335	7.612515094
336	7.608496947
337	7.604321407
338	7.599733106
339	7.59516325
340	7.591528301
341	7.587663612
342	7.583214934
343	7.578417923
344	7.574159779
345	7.57023769
346	7.565774538
347	7.561301888
348	7.556813412
349	7.552730984
350	7.548952568
351	7.544641439
352	7.540487331
353	7.536596529
354	7.532317255
355	7.528388946
356	7.524245205
357	7.520285098
358	7.51602858
359	7.511892655
360	7.508089213
361	7.504227135
362	7.500530184
363	7.496210455
364	7.492469065
365	7.488504569
366	7.484358213
367	7.480162998
368	7.475677728
369	7.471591734
370	7.467666924
371	7.463643335
372	7.459350032
373	7.455467447
374	7.451607931
375	7.44777493
376	7.444360135
377	7.440413586
378	7.435875097
379	7.432099949
380	7.42822326
381	7.423860988
382	7.419600601
383	7.415592806
384	7.412290824
385	7.408649663
386	7.404713052
387	7.40061341
388	7.39653032
389	7.392490705
390	7.388688141
391	7.384554927
392	7.38056818
393	7.376327281
394	7.37220119
395	7.368103844
396	7.36467944
397	7.360536115
398	7.356256997
399	7.352130883
400	7.347896696
401	7.344261413
402	7.340326002
403	7.336169206
404	7.332779031
405	7.328689767
406	7.325001903
407	7.321256354
408	7.317362985
409	7.313175652
410	7.309290825
411	7.305245685
412	7.301507267
413	7.297165116
414	7.293324945
415	7.28925602
416	7.285237019
417	7.282067218
418	7.278199492
419	7.274351941
420	7.270752612
421	7.267212666
422	7.263456058
423	7.259534307
424	7.256057157
425	7.252417572
426	7.248318233
427	7.244515287
428	7.241195844
429	7.237301426
430	7.233258241
431	7.22924855
432	7.225957494
433	7.222122079
434	7.218138722
435	7.214692596
436	7.211085968
437	7.207364206
438	7.203950973
439	7.20050428
440	7.196717942
441	7.193066005
442	7.189009161
443	7.185198102
444	7.181371186
445	7.17747469
446	7.173900638
447	7.170485341
448	7.166554539
449	7.162485795
450	7.1585135
451	7.154819734
452	7.15120894
453	7.147158746
454	7.143647624
455	7.140743552
456	7.137173349
457	7.133292494
458	7.129596386
459	7.125966519
460	7.122310919
461	7.118567966
462	7.115157561
463	7.111342325
464	7.107603397
465	7.103558635
466	7.099591696
467	7.095402004
468	7.091893736
469	7.088171952
470	7.084696524
471	7.081074176
472	7.077728784
473	7.073689599
474	7.069580353
475	7.066012764
476	7.062318089
477	7.058184006
478	7.054391836
479	7.050691343
480	7.046787563
481	7.042856223
482	7.039227065
483	7.035351379
484	7.031557691
485	7.027848681
486	7.024397652
487	7.020820865
488	7.017295991
489	7.013766936
490	7.010385086
491	7.006763056
492	7.003817299
493	6.999915903
494	6.996405185
495	6.992779707
496	6.988728612
497	6.98541021
498	6.981567184
499	6.977992941
500	6.974138106
501	6.970364844
502	6.967002354
503	6.963955697
504	6.959615916
505	6.956636215
506	6.95393123
507	6.950390336
508	6.946598699
509	6.943104629
510	6.939444624
511	6.935710388
512	6.932175552
513	6.928357954
514	6.925173116
515	6.921584622
516	6.917891235
517	6.914510461
518	6.911222673
519	6.907535579
520	6.904029654
521	6.900570637
522	6.896989182
523	6.893264671
524	6.889758042
525	6.885674303
526	6.882456232
527	6.878605864
528	6.87463195
529	6.871239144
530	6.867712132
531	6.864564807
532	6.860939914
533	6.857613917
534	6.85410409
535	6.850300974
536	6.846845332
537	6.843360287
538	6.840339881
539	6.836857647
540	6.833573722
541	6.830062538
542	6.82657441
543	6.822894921
544	6.819814131
545	6.816255352
546	6.812772285
547	6.809614354
548	6.806900528
549	6.803320591
550	6.79952183
551	6.795803616
552	6.792184037
553	6.78876721
554	6.784910023
555	6.781021708
556	6.777313075
557	6.773553056
558	6.769822406
559	6.766380163
560	6.762447757
561	6.759006461
562	6.755803167
563	6.752401505
564	6.748958848
565	6.745673542
566	6.742809843
567	6.739478493
568	6.735876716
569	6.732973824
570	6.729676614
571	6.726030605
572	6.72252468
573	6.719224002
574	6.716159763
575	6.712707757
576	6.70896589
577	6.705047192
578	6.701698558
579	6.697947529
580	6.694425621
581	6.690928068
582	6.688020002
583	6.684883565
584	6.68182478
585	6.67889961
586	6.675199645
587	6.671542681
588	6.667817256
589	6.664776336
590	6.66136359
591	6.658292027
592	6.654924462
593	6.651898618
594	6.64914237
595	6.645578621
596	6.641828925
597	6.638222611
598	6.634786893
599	6.631424458
600	6.628232416
601	6.625107127
602	6.621374992
603	6.617920152
604	6.614724306
605	6.611415089
606	6.607726985
607	6.60454024
608	6.601225546
609	6.597673222
610	6.594443367
611	6.591272814
612	6.588467816
613	6.585634621
614	6.582317115
615	6.578965231
616	6.575832533
617	6.572697465
618	6.569425695
619	6.565529254
620	6.56246386
621	6.558964697
622	6.555671037
623	6.552245982
624	6.548563226
625	6.545404105
626	6.542075703
627	6.538549674
628	6.535571483
629	6.532668468
630	6.529178526
631	6.5257872
632	6.52271003
633	6.519938269
634	6.516665085
635	6.513344177
636	6.509778854
637	6.506516702
638	6.503122715
639	6.49955599
640	6.496457135
641	6.493536774
642	6.489872613
643	6.486596635
644	6.483449099
645	6.480594874
646	6.477467317
647	6.474233738
648	6.471560912
649	6.46859984
650	6.465334985
651	6.462051686
652	6.458877126
653	6.45578875
654	6.452478867
655	6.449360696
656	6.445947564
657	6.442836904
658	6.439858463
659	6.436394291
660	6.433477009
661	6.430142111
662	6.426760717
663	6.423265097
664	6.419834123
665	6.41663862
666	6.413353577
667	6.410562801
668	6.40772582
669	6.404561972
670	6.40150356
671	6.398293243
672	6.395231446
673	6.391856304
674	6.389168474
675	6.385757082
676	6.382862062
677	6.379575381
678	6.376575062
679	6.3732559
680	6.37022008
681	6.366740023
682	6.363604915
683	6.360173044
684	6.357090856
685	6.354002139
686	6.351014369
687	6.348008863
688	6.344931548
689	6.341795957
690	6.338353976
691	6.335150913
692	6.331802536
693	6.3285864
694	6.325558454
695	6.322345159
696	6.319162244
697	6.316261841
698	6.313086022
699	6.309333617
